epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,2640.44,0.7398,2.26775,0.96913,0.75747,0.733,0.66581,0.51237,1.09744,4.76936,1.2754,0.00011885,0.00011885,0.00011885
156,2657.01,0.72305,2.19011,0.95002,0.75681,0.7239,0.66738,0.51075,1.12051,4.84492,1.27195,0.000116375,0.000116375,0.000116375
157,2674.46,0.70213,2.10003,0.95007,0.74142,0.75072,0.6636,0.50812,1.15481,4.99871,1.29067,0.0001139,0.0001139,0.0001139
158,2690.87,0.73814,2.16659,0.96159,0.76872,0.76552,0.67835,0.51951,1.13014,5.00899,1.28262,0.000111425,0.000111425,0.000111425
159,2707.96,0.69509,2.07042,0.94862,0.7863,0.75356,0.69478,0.52619,1.14143,4.84275,1.27995,0.00010895,0.00010895,0.00010895
160,2724.66,0.69956,2.10006,0.92917,0.77054,0.74209,0.68395,0.52332,1.14141,4.68457,1.28642,0.000106475,0.000106475,0.000106475
161,2741.64,0.69419,2.07158,0.94264,0.7647,0.76509,0.68322,0.52958,1.13028,4.68218,1.29129,0.000104,0.000104,0.000104
162,2758.32,0.70669,2.07259,0.95818,0.76509,0.76917,0.68043,0.52662,1.11438,4.73914,1.26068,0.000101525,0.000101525,0.000101525
163,2774.84,0.68952,2.08797,0.93466,0.76609,0.77482,0.68297,0.52181,1.13042,4.72644,1.27135,9.905e-05,9.905e-05,9.905e-05
164,2791.53,0.66596,1.9904,0.92375,0.76007,0.79024,0.69311,0.52031,1.13312,4.70144,1.2795,9.6575e-05,9.6575e-05,9.6575e-05
165,2808.12,0.6996,2.05928,0.95,0.75279,0.78114,0.67193,0.51156,1.14967,4.90926,1.27295,9.41e-05,9.41e-05,9.41e-05
166,2824.7,0.6959,2.12459,0.94078,0.74159,0.75966,0.65837,0.51966,1.14545,4.90608,1.25871,9.1625e-05,9.1625e-05,9.1625e-05
167,2841.38,0.69557,2.09247,0.9248,0.74693,0.75556,0.66528,0.51467,1.12513,4.7593,1.25769,8.915e-05,8.915e-05,8.915e-05
168,2858.28,0.69371,2.05554,0.94257,0.78657,0.73858,0.67534,0.52414,1.12558,4.6467,1.25747,8.6675e-05,8.6675e-05,8.6675e-05
169,2875.27,0.67797,2.01593,0.94614,0.78278,0.73468,0.67632,0.52692,1.10788,4.7568,1.23836,8.42e-05,8.42e-05,8.42e-05
170,2891.77,0.7019,2.1236,0.93006,0.72633,0.77508,0.66867,0.52903,1.07698,4.83989,1.22849,8.1725e-05,8.1725e-05,8.1725e-05
171,2908.35,0.67492,2.00121,0.93419,0.77104,0.72055,0.67171,0.53141,1.08601,4.89015,1.23437,7.925e-05,7.925e-05,7.925e-05
172,2924.99,0.68417,2.05465,0.93456,0.76602,0.72888,0.67511,0.52811,1.15104,4.81648,1.26273,7.6775e-05,7.6775e-05,7.6775e-05
173,2942.25,0.69253,2.04403,0.93784,0.77439,0.7358,0.67242,0.5251,1.13273,4.65423,1.27041,7.43e-05,7.43e-05,7.43e-05
174,2958.81,0.65743,1.9877,0.93038,0.7651,0.72694,0.65009,0.51786,1.1081,4.58683,1.25955,7.1825e-05,7.1825e-05,7.1825e-05
175,2975.15,0.65792,1.96785,0.92993,0.75723,0.73286,0.66046,0.52605,1.1049,4.63474,1.22759,6.935e-05,6.935e-05,6.935e-05
176,2991.79,0.68018,2.07719,0.93385,0.75834,0.74446,0.67051,0.52182,1.07963,4.6352,1.20957,6.6875e-05,6.6875e-05,6.6875e-05
177,3008.11,0.67876,2.0209,0.93435,0.77508,0.74074,0.67318,0.52175,1.07052,4.70882,1.20212,6.44e-05,6.44e-05,6.44e-05
178,3024.59,0.68281,2.06928,0.93602,0.75839,0.733,0.66046,0.52217,1.09147,4.77054,1.20483,6.1925e-05,6.1925e-05,6.1925e-05
179,3041.25,0.66894,1.99508,0.92581,0.76481,0.73906,0.66426,0.52111,1.0997,4.70467,1.22627,5.945e-05,5.945e-05,5.945e-05
180,3058.64,0.65402,1.95694,0.92505,0.76456,0.75118,0.66546,0.52739,1.08911,4.60883,1.25371,5.6975e-05,5.6975e-05,5.6975e-05
